Sexo;Frecuencia;periodo;Total
Total;Muy a menudo;2022;67,3
Total;Muy a menudo;2018;71,5
Total;Muy a menudo;2013;63,2
Total;Algunas veces;2022;30,8
Total;Algunas veces;2018;26,7
Total;Algunas veces;2013;34,7
Total;Nunca;2022;1,9
Total;Nunca;2018;1,9
Total;Nunca;2013;2,0
Hombres;Muy a menudo;2022;68,4
Hombres;Muy a menudo;2018;74,2
Hombres;Muy a menudo;2013;64,9
Hombres;Algunas veces;2022;29,8
Hombres;Algunas veces;2018;24,2
Hombres;Algunas veces;2013;33,3
Hombres;Nunca;2022;1,8
Hombres;Nunca;2018;1,6
Hombres;Nunca;2013;1,8
Mujeres;Muy a menudo;2022;66,2
Mujeres;Muy a menudo;2018;69,0
Mujeres;Muy a menudo;2013;61,5
Mujeres;Algunas veces;2022;31,7
Mujeres;Algunas veces;2018;29,0
Mujeres;Algunas veces;2013;36,2
Mujeres;Nunca;2022;2,1
Mujeres;Nunca;2018;2,1
Mujeres;Nunca;2013;2,2
