Edad;Sexo;Total
Todas las edades;Ambos sexos;3539
Todas las edades;Hombres;2619
Todas las edades;Mujeres;920
Menores de 15 años;Ambos sexos;7
Menores de 15 años;Hombres;4
Menores de 15 años;Mujeres;3
De 15 a 29 años;Ambos sexos;268
De 15 a 29 años;Hombres;203
De 15 a 29 años;Mujeres;65
De 30 a 39 años;Ambos sexos;396
De 30 a 39 años;Hombres;309
De 30 a 39 años;Mujeres;87
De 40 a 44 años;Ambos sexos;315
De 40 a 44 años;Hombres;236
De 40 a 44 años;Mujeres;79
De 45 a 49 años;Ambos sexos;393
De 45 a 49 años;Hombres;298
De 45 a 49 años;Mujeres;95
De 50 a 54 años;Ambos sexos;377
De 50 a 54 años;Hombres;280
De 50 a 54 años;Mujeres;97
De 55 a 59 años;Ambos sexos;381
De 55 a 59 años;Hombres;275
De 55 a 59 años;Mujeres;106
De 60 a 64 años;Ambos sexos;273
De 60 a 64 años;Hombres;196
De 60 a 64 años;Mujeres;77
De 65 a 69 años;Ambos sexos;239
De 65 a 69 años;Hombres;164
De 65 a 69 años;Mujeres;75
De 70 a 74 años;Ambos sexos;230
De 70 a 74 años;Hombres;160
De 70 a 74 años;Mujeres;70
De 75 a 79 años;Ambos sexos;173
De 75 a 79 años;Hombres;129
De 75 a 79 años;Mujeres;44
De 80 a 84 años;Ambos sexos;228
De 80 a 84 años;Hombres;167
De 80 a 84 años;Mujeres;61
De 85 a 89 años;Ambos sexos;175
De 85 a 89 años;Hombres;134
De 85 a 89 años;Mujeres;41
De 90 a 94 años;Ambos sexos;73
De 90 a 94 años;Hombres;56
De 90 a 94 años;Mujeres;17
De 95 años y más;Ambos sexos;11
De 95 años y más;Hombres;8
De 95 años y más;Mujeres;3
